hidden_size,num_epochs,batch_size,learning_rate,dropout_prob,MSE,R2
"[32, 16, 32]",38,16,0.01,0.2,0.0233652312308549,0.8839344640574016
"[64, 32, 64]",41,16,0.01,0.0,0.0065372521057724,0.9705309392177772
"[64, 32, 64]",53,16,0.01,0.1,0.0096309958025813,0.9581017104392556
"[64, 32, 64]",36,16,0.01,0.2,0.0146599020808935,0.9311779998145838
"[16, 32, 16]",26,16,0.01,0.0,0.0071557681076228,0.9684303091727512
"[16, 32, 16]",10,16,0.01,0.1,0.0257814042270183,0.8720669595639874
"[16, 32, 16]",25,16,0.01,0.2,0.0256203580647707,0.8787321609927291
"[32, 64, 32]",37,16,0.01,0.0,0.0068746171891689,0.9693811734502156
"[32, 64, 32]",40,16,0.01,0.1,0.0116890324279665,0.9419997246667542
"[32, 64, 32]",26,16,0.01,0.2,0.018286794424057,0.9213155828191568
"[32, 64, 32]",32,16,0.01,0.0,0.0068270973861217,0.969750113429303
"[32, 64, 32]",18,16,0.01,0.1,0.0116531262174248,0.947288131509982
"[32, 64, 32]",24,16,0.01,0.2,0.0185979008674621,0.9035374515718184
"[128, 128, 128]",36,16,0.01,0.0,0.0064350729808211,0.9715575420736384
"[128, 128, 128]",19,16,0.01,0.1,0.0099396454170346,0.9559825161816468
"[128, 128, 128]",66,16,0.01,0.2,0.0097863068804144,0.955986721871378
"[256, 256, 256]",17,16,0.01,0.0,0.0066800904460251,0.969469041669704
"[256, 256, 256]",37,16,0.01,0.1,0.0079002743586897,0.9638555395053908
"[256, 256, 256]",41,16,0.01,0.2,0.0094744395464658,0.957210856630406
"[512, 512, 512]",24,16,0.01,0.0,0.0064750569872558,0.9709079422286224
"[512, 512, 512]",14,16,0.01,0.1,0.0086441123858094,0.9611815024841022
"[512, 512, 512]",43,16,0.01,0.2,0.0082012200728058,0.9630349847620024
"[128, 64, 128]",22,16,0.01,0.0,0.0065596872009336,0.9708239241997776
"[128, 64, 128]",24,16,0.01,0.1,0.0102827288210392,0.9511061910228732
"[128, 64, 128]",16,16,0.01,0.2,0.0131917055696249,0.9390177717891508
"[256, 128, 256]",23,16,0.01,0.0,0.0064073163084685,0.9717406079038432
"[256, 128, 256]",36,16,0.01,0.1,0.0088196592405438,0.9599944932674824
"[256, 128, 256]",21,16,0.01,0.2,0.0106917368248105,0.95296463195368
"[512, 256, 512]",25,16,0.01,0.0,0.0062111867591738,0.971760897523972
"[512, 256, 512]",32,16,0.01,0.1,0.0078691588714718,0.9646520906701572
"[512, 256, 512]",27,16,0.01,0.2,0.0092428717762231,0.9563076136941407
"[64, 128, 64]",42,16,0.01,0.0,0.0065186056308448,0.9704188198248088
"[64, 128, 64]",49,16,0.01,0.1,0.0091751907020807,0.9586812762478696
"[64, 128, 64]",41,16,0.01,0.2,0.012250849045813,0.945262204700736
"[128, 256, 128]",44,16,0.01,0.0,0.0065335840918123,0.9700351502348032
"[128, 256, 128]",20,16,0.01,0.1,0.009262672625482,0.9574468243618832
"[128, 256, 128]",37,16,0.01,0.2,0.0113414879888296,0.9490199979412236
"[256, 512, 256]",26,16,0.01,0.0,0.006625055335462,0.9691501509510844
"[256, 512, 256]",30,16,0.01,0.1,0.0086446516215801,0.962185433871658
"[256, 512, 256]",55,16,0.01,0.2,0.0085067525506019,0.9613699716885272
"[16, 16, 16]",7,16,0.1,0.0,0.0115499403327703,0.9478744743972556
"[32, 32, 32]",3,16,0.1,0.0,0.0085231065750122,0.9586969874359764
"[32, 32, 32]",11,16,0.1,0.1,0.0277486890554428,0.8704754309786835
"[32, 32, 32]",9,16,0.1,0.2,0.099185325205326,0.4844272053485894
"[64, 64, 64]",15,16,0.1,0.0,0.0072707659564912,0.9671230179865592
"[64, 64, 64]",11,16,0.1,0.1,0.0159887392073869,0.915161451995892
"[64, 64, 64]",1,16,0.1,0.2,0.0823385044932365,0.2685948821488658
"[16, 8, 16]",16,16,0.1,0.0,0.0073848967440426,0.9672010279170314
"[32, 16, 32]",6,16,0.1,0.0,0.0081236166879534,0.9597697561057524
"[64, 32, 64]",13,16,0.1,0.0,0.0076295463368296,0.9639679829803725
"[64, 32, 64]",11,16,0.1,0.1,0.0155813386663794,0.9289958647385924
"[64, 32, 64]",2,16,0.1,0.2,0.0610335655510425,0.5863726873657648
"[32, 64, 32]",3,16,0.1,0.0,0.0090084141120314,0.96205870523022
"[32, 64, 32]",17,16,0.1,0.1,0.0216372311115264,0.8975160538636305
